# name,orbital_period,semi_major_axis,eccentricity,discovered,detection_type,star_name,star_distance,star_metallicity,star_mass,star_sp_type
Kepler-1491 b,16.5861762,,,2016,Primary Transit,Kepler-1491,1312,0.06,1,
Kepler-1492 b,16.75255007,,,2016,Primary Transit,Kepler-1492,371,0.06,0.77,
Kepler-1493 b,15.0217983,,,2016,Primary Transit,Kepler-1493,572,0.06,1.06,
Kepler-1494 b,91.080482,,,2016,Primary Transit,Kepler-1494,1059,0.01,0.96,
Kepler-1495 b,85.273256,,,2016,Primary Transit,Kepler-1495,1307,0.06,1.03,
Kepler-1496 b,64.6588017,,,2016,Primary Transit,Kepler-1496,1293,0.05,1.18,
Kepler-1497 b,8.74199772,,,2016,Primary Transit,Kepler-1497,1122,0.01,0.96,
Kepler-1498 b,48.051405,,,2016,Primary Transit,Kepler-1498,740,-0.01,0.86,
Kepler-1499 b,44.2008,,,2016,Primary Transit,Kepler-1499,310,-0.01,0.82,
Kepler-15 b,4.942782,0.05714,,2011,Primary Transit,Kepler-15,,0.36,1.018,
Kepler-150 b,3.428054,0.044,,2014,Primary Transit,Kepler-150,,-0.136,,
Kepler-150 c,7.381998,0.073,,2014,Primary Transit,Kepler-150,,-0.136,,
Kepler-150 d,12.56093,0.104,,2014,Primary Transit,Kepler-150,,-0.136,,
Kepler-150 e,30.826557,0.189,,2014,Primary Transit,Kepler-150,,-0.136,,
Kepler-150 f,637.2093,1.24,,2017,Primary Transit,Kepler-150,,-0.136,,
Kepler-1500 b,15.0330105,,,2016,Primary Transit,Kepler-1500,904,-0.05,1,
Kepler-1501 b,14.5564533,,,2016,Primary Transit,Kepler-1501,888,0.04,1.2,
Kepler-1502 b,41.7083629,,,2016,Primary Transit,Kepler-1502,1540,0.05,1.44,
Kepler-1503 b,96.16987,,,2016,Primary Transit,Kepler-1503,850,-0.19,0.77,
Kepler-1504 b,82.304003,,,2016,Primary Transit,Kepler-1504,1029,-0.17,0.85,
Kepler-1505 b,30.8609366,,,2016,Primary Transit,Kepler-1505,359,-0.18,0.93,
Kepler-1506 b,14.0329154,,,2016,Primary Transit,Kepler-1506,1318,-0.05,0.95,
Kepler-1507 b,16.0506213,,,2016,Primary Transit,Kepler-1507,342,-0.03,0.89,
Kepler-1508 b,20.7056504,,,2016,Primary Transit,Kepler-1508,892,0.01,1.14,
Kepler-1509 b,25.4338197,,,2016,Primary Transit,Kepler-1509,1277,0.03,1,
Kepler-151 b,15.228958,0.116,,2014,Primary Transit,Kepler-151,,-0.102,0.83,
Kepler-151 c,24.674612,0.16,,2014,Primary Transit,Kepler-151,,-0.102,0.83,
Kepler-1510 b,84.703921,,,2016,Primary Transit,Kepler-1510,1615,0.04,1.19,
Kepler-1511 b,23.2382792,,,2016,Primary Transit,Kepler-1511,897,0.14,1.17,
Kepler-1512 b,20.35972599,,,2016,Primary Transit,Kepler-1512,162,0.2,0.73,
Kepler-1513 b,160.8846509,,,2016,Primary Transit,Kepler-1513,384,0.14,0.99,
Kepler-1514 b,217.8317626,,,2016,Primary Transit,Kepler-1514,379,0.14,1.21,
Kepler-1515 b,214.3114164,,,2016,Primary Transit,Kepler-1515,504,0.07,1.3,
Kepler-1516 b,7.25931979,,,2016,Primary Transit,Kepler-1516,872,0.03,1.04,
Kepler-1517 b,5.54608367,,,2016,Primary Transit,Kepler-1517,869,0.01,1.58,
Kepler-1518 b,5.11177904,,,2016,Primary Transit,Kepler-1518,1140,0.06,1.54,
Kepler-1519 b,240.7989397,,,2016,Primary Transit,Kepler-1519,858,-0.07,0.94,
Kepler-152 b,18.207973,0.124,,2014,Primary Transit,Kepler-152,,-0.138,,
Kepler-152 c,88.255055,0.356,,2014,Primary Transit,Kepler-152,,-0.138,,
Kepler-1520 b,0.653553,0.013,,2012,Primary Transit,Kepler-1520,470,-0.173,0.7,K4V
Kepler-1521 b,47.14840805,,,2016,Primary Transit,Kepler-1521,227,-0.05,0.81,
Kepler-1522 b,1.84788917,,,2016,Primary Transit,Kepler-1522,690,-0.07,0.96,
Kepler-1523 b,0.93875077,,,2016,Primary Transit,Kepler-1523,918,0,0.97,
Kepler-1524 b,70.9674603,,,2016,Primary Transit,Kepler-1524,506,0.04,1.17,
Kepler-1525 b,2.41660118,,,2016,Primary Transit,Kepler-1525,396,0.27,1.07,
Kepler-1526 b,3.908632,,,2016,Primary Transit,Kepler-1526,576,-0.01,0.73,
Kepler-1527 b,160.129918,,,2016,Primary Transit,Kepler-1527,1560,0.07,1.21,
Kepler-1528 b,1.79111021,,,2016,Primary Transit,Kepler-1528,916,0.03,1.03,
Kepler-1529 b,5.33905686,,,2016,Primary Transit,Kepler-1529,683,-0.03,0.81,
Kepler-153 b,18.870227,0.129,,2014,Primary Transit,Kepler-153,,-0.255,,
Kepler-153 c,46.90232,0.237,,2014,Primary Transit,Kepler-153,,-0.255,,
Kepler-1530 b,2.5904434,,,2016,Primary Transit,Kepler-1530,552,0.03,0.92,
Kepler-1530 c,5.3227406,,,2016,Primary Transit,Kepler-1530,552,0.03,0.92,
Kepler-1531 b,1.13854338,,,2016,Primary Transit,Kepler-1531,670,-0.03,1.16,
Kepler-1532 b,1.09366356,,,2016,Primary Transit,Kepler-1532,824,-0.1,0.91,
Kepler-1533 b,308.5471,,,2016,Primary Transit,Kepler-1533,852,0.03,1.31,
Kepler-1534 b,5.71668872,,,2016,Primary Transit,Kepler-1534,1107,-0.01,0.9,
Kepler-1535 b,138.9442,,,2016,Primary Transit,Kepler-1535,879,0,1.08,
Kepler-1536 b,364.758031,,,2016,Primary Transit,Kepler-1536,401,0.05,0.71,
Kepler-1537 b,1.4444538,,,2016,Primary Transit,Kepler-1537,503,-0.08,0.81,
Kepler-1538 b,175.138819,,,2016,Primary Transit,Kepler-1538,1291,0.02,1.03,
Kepler-1539 b,133.3036741,,,2016,Primary Transit,Kepler-1539,788,-0.01,0.84,
Kepler-154 b,33.040532,0.198,,2014,Primary Transit,Kepler-154,,-0.391,0.89,
Kepler-154 c,62.303276,0.303,,2014,Primary Transit,Kepler-154,,-0.391,0.89,
Kepler-154 d,20.54981883,,,2016,Primary Transit,Kepler-154,,-0.391,0.89,
Kepler-154 e,3.93276465,,,2016,Primary Transit,Kepler-154,,-0.391,0.89,
Kepler-154 f,9.91935684,,,2016,Primary Transit,Kepler-154,,-0.391,0.89,
Kepler-1540 b,125.4131177,,,2016,Primary Transit,Kepler-1540,262,0.1,0.74,
Kepler-1541 b,8.40691199,,,2016,Primary Transit,Kepler-1541,414,-0.04,0.86,
Kepler-1542 b,3.95116882,,,2016,Primary Transit,Kepler-1542,336,0.06,0.94,
Kepler-1542 c,2.89223021,,,2016,Primary Transit,Kepler-1542,336,0.06,0.94,
Kepler-1542 d,5.99273738,,,2016,Primary Transit,Kepler-1542,336,0.06,0.94,
Kepler-1542 e,5.10115756,,,2016,Primary Transit,Kepler-1542,336,0.06,0.94,
Kepler-1543 b,6.96710269,,,2016,Primary Transit,Kepler-1543,1114,0.07,1.39,
Kepler-1544 b,168.811174,,,2016,Primary Transit,Kepler-1544,349,0.02,0.81,
Kepler-1545 b,163.692349,,,2016,Primary Transit,Kepler-1545,688,-0.06,0.84,
Kepler-1546 b,19.5974971,,,2016,Primary Transit,Kepler-1546,994,0.01,0.95,
Kepler-1547 b,0.69297968,,,2016,Primary Transit,Kepler-1547,665,0.04,1.12,
Kepler-1548 b,124.828679,,,2016,Primary Transit,Kepler-1548,1150,0.05,0.99,
Kepler-1549 b,214.886545,,,2016,Primary Transit,Kepler-1549,792,0.02,0.88,
Kepler-155 b,5.931194,0.056,,2014,Primary Transit,Kepler-155,,-0.363,0.58,
Kepler-155 c,52.661793,0.242,,2014,Primary Transit,Kepler-155,,-0.363,0.58,
Kepler-1550 b,225.582809,,,2016,Primary Transit,Kepler-1550,1202,0.01,1.07,
Kepler-1551 b,24.4973698,,,2016,Primary Transit,Kepler-1551,1560,0.01,1.14,
Kepler-1552 b,184.771853,,,2016,Primary Transit,Kepler-1552,618,-0.07,0.85,
Kepler-1553 b,4.24261881,,,2016,Primary Transit,Kepler-1553,719,-0.09,0.85,
Kepler-1554 b,198.088774,,,2016,Primary Transit,Kepler-1554,982,-0.1,0.84,
Kepler-1555 b,8.10501635,,,2016,Primary Transit,Kepler-1555,1382,0.03,1.04,
Kepler-1556 b,8.82713457,,,2016,Primary Transit,Kepler-1556,1060,0.08,0.97,
Kepler-1557 b,3.74032496,,,2016,Primary Transit,Kepler-1557,1532,0.02,1.11,
Kepler-1558 b,3.50470358,,,2016,Primary Transit,Kepler-1558,343,0,0.83,
Kepler-1559 b,0.97191543,,,2016,Primary Transit,Kepler-1559,580,-0.04,0.86,
Kepler-156 b,4.973456,0.054,,2014,Primary Transit,Kepler-156,,-0.014,,
Kepler-156 c,15.906801,0.117,,2014,Primary Transit,Kepler-156,,-0.014,,
Kepler-1560 b,3.03195744,,,2016,Primary Transit,Kepler-1560,529,0.04,1.02,
Kepler-1561 b,1.00520701,,,2016,Primary Transit,Kepler-1561,993,0.04,1.07,
Kepler-1562 b,64.2737752,,,2016,Primary Transit,Kepler-1562,1315,0.11,1.02,
Kepler-1563 b,3.43276598,,,2016,Primary Transit,Kepler-1563,547,0.02,1,
Kepler-1564 b,18.0540381,,,2016,Primary Transit,Kepler-1564,872,0.03,0.93,
Kepler-1565 b,1.53818844,,,2016,Primary Transit,Kepler-1565,657,-0.16,0.76,
Kepler-1566 b,0.53991524,,,2016,Primary Transit,Kepler-1566,511,-0.07,0.84,
Kepler-1567 b,153.979578,,,2016,Primary Transit,Kepler-1567,1226,-0.03,0.95,
Kepler-1568 b,20.925392,,,2016,Primary Transit,Kepler-1568,883,0.09,1.09,
Kepler-1569 b,5.79180156,,,2016,Primary Transit,Kepler-1569,1050,0.06,1.25,
Kepler-157 b,1.732342,0.028,,2014,Primary Transit,Kepler-157,,-0.108,,
Kepler-157 c,13.5405,0.11,,2014,Primary Transit,Kepler-157,,-0.108,,
Kepler-157 d,7.02573474,,,2016,Primary Transit,Kepler-157,,-0.108,,
Kepler-1570 b,26.548955,,,2016,Primary Transit,Kepler-1570,463,-0.04,0.92,
Kepler-1571 b,3.38555488,,,2016,Primary Transit,Kepler-1571,802,0.04,1.23,
Kepler-1572 b,5.49548621,,,2016,Primary Transit,Kepler-1572,600,0.08,0.97,
Kepler-1573 b,2.6157554,,,2016,Primary Transit,Kepler-1573,1180,0.02,1.01,
Kepler-1574 b,6.9424334,,,2016,Primary Transit,Kepler-1574,1275,0.08,1.06,
Kepler-1575 b,2.55314213,,,2016,Primary Transit,Kepler-1575,1170,-0.07,0.95,
Kepler-1576 b,6.98471973,,,2016,Primary Transit,Kepler-1576,539,0.05,1.05,
Kepler-1577 b,6.30560247,,,2016,Primary Transit,Kepler-1577,543,0,0.78,
Kepler-1578 b,1.45088691,,,2016,Primary Transit,Kepler-1578,1016,-0.13,0.9,
Kepler-1579 b,0.84990789,,,2016,Primary Transit,Kepler-1579,466,0.11,0.75,
Kepler-158 b,16.709184,0.111,,2014,Primary Transit,Kepler-158,,-0.232,,
Kepler-158 c,28.551383,0.158,,2014,Primary Transit,Kepler-158,,-0.232,,
Kepler-1580 b,56.6449279,,,2016,Primary Transit,Kepler-1580,872,0.12,1.47,
Kepler-1581 b,6.28385491,,,2016,Primary Transit,Kepler-1581,443,0.07,1.12,
Kepler-1582 b,4.83817712,,,2016,Primary Transit,Kepler-1582,112,0.48,0.28,
Kepler-1583 b,9.32807355,,,2016,Primary Transit,Kepler-1583,357,-0.07,0.94,
Kepler-1584 b,13.3997099,,,2016,Primary Transit,Kepler-1584,1325,0,1.1,
Kepler-1585 b,3.5827463,,,2016,Primary Transit,Kepler-1585,1269,0.08,0.94,
Kepler-1586 b,15.6049212,,,2016,Primary Transit,Kepler-1586,864,0.06,1.45,
Kepler-1587 b,9.4060467,,,2016,Primary Transit,Kepler-1587,907,0.07,1.08,
Kepler-1588 b,7.84931739,,,2016,Primary Transit,Kepler-1588,658,-0.14,0.96,
Kepler-1589 b,0.99166527,,,2016,Primary Transit,Kepler-1589,1418,0.08,1.18,
Kepler-159 b,10.139623,0.082,,2014,Primary Transit,Kepler-159,,-0.911,,
Kepler-159 c,43.595792,0.218,,2014,Primary Transit,Kepler-159,,-0.911,,
Kepler-1590 b,7.61760804,,,2016,Primary Transit,Kepler-1590,900,0.03,1.11,
Kepler-1591 b,8.18504949,,,2016,Primary Transit,Kepler-1591,1090,0.01,1.1,
Kepler-1592 b,3.05710069,,,2016,Primary Transit,Kepler-1592,1349,0.04,1.18,
Kepler-1593 b,174.509835,,,2016,Primary Transit,Kepler-1593,755,0.02,0.81,
Kepler-1594 b,2.71603809,,,2016,Primary Transit,Kepler-1594,1100,0.03,1.06,
Kepler-1595 b,4.56380468,,,2016,Primary Transit,Kepler-1595,841,-0.02,0.84,
Kepler-1596 b,66.373379,,,2016,Primary Transit,Kepler-1596,1166,-0.11,0.95,
Kepler-1597 b,2.94654179,,,2016,Primary Transit,Kepler-1597,1255,0.02,1.25,
Kepler-1598 b,4.34195123,,,2016,Primary Transit,Kepler-1598,734,0.04,1.07,
Kepler-1599 b,122.363553,,,2016,Primary Transit,Kepler-1599,1004,0.02,0.99,
Kepler-16 (AB) b,228.776,0.7048,0.00685,2011,Primary Transit,Kepler-16 (AB),,-0.3,0.8499,K
Kepler-160 b,4.309427,0.05,,2014,Primary Transit,Kepler-160,,-0.361,,
Kepler-160 c,13.699087,0.109,,2014,Primary Transit,Kepler-160,,-0.361,,
Kepler-1600 b,386.370548,,,2016,Primary Transit,Kepler-1600,992,0.07,0.86,
Kepler-1601 b,2.20921951,,,2016,Primary Transit,Kepler-1601,660,0.05,1.04,
Kepler-1602 b,11.17931605,,,2016,Primary Transit,Kepler-1602,815,0.02,1.22,
Kepler-1603 b,2.27163926,,,2016,Primary Transit,Kepler-1603,1751,0.07,1.21,
Kepler-1604 b,0.68368426,,,2016,Primary Transit,Kepler-1604,562,0.02,0.81,
Kepler-1605 b,85.7565495,,,2016,Primary Transit,Kepler-1605,224,-0.01,0.86,
Kepler-1606 b,196.435224,,,2016,Primary Transit,Kepler-1606,880,0.01,0.9,
Kepler-1607 b,13.6473676,,,2016,Primary Transit,Kepler-1607,735,0.05,1.14,
Kepler-1608 b,16.4735686,,,2016,Primary Transit,Kepler-1608,832,-0.24,0.75,
Kepler-1609 b,114.34219,,,2016,Primary Transit,Kepler-1609,1483,0.1,1.18,
Kepler-161 b,4.921355,0.054,,2014,Primary Transit,Kepler-161,,-0.093,0.77,
Kepler-161 c,7.06424,0.068,,2014,Primary Transit,Kepler-161,,-0.093,0.77,
Kepler-1610 b,8.70181574,,,2016,Primary Transit,Kepler-1610,1063,0.1,0.91,
Kepler-1611 b,5.1762429,,,2016,Primary Transit,Kepler-1611,686,0.01,0.94,
Kepler-1612 b,3.91795101,,,2016,Primary Transit,Kepler-1612,837,0.03,0.96,
Kepler-1613 b,1.5184299,,,2016,Primary Transit,Kepler-1613,855,0.01,1.08,
Kepler-1614 b,3.9466141,,,2016,Primary Transit,Kepler-1614,982,-0.17,0.79,
Kepler-1615 b,47.3126192,,,2016,Primary Transit,Kepler-1615,940,0.06,1.04,
Kepler-1616 b,6.76284377,,,2016,Primary Transit,Kepler-1616,862,0.02,1.21,
Kepler-1617 b,27.4785572,,,2016,Primary Transit,Kepler-1617,813,0.01,1.15,
Kepler-1618 b,6.10826019,,,2016,Primary Transit,Kepler-1618,1238,0.04,1.41,
Kepler-1619 b,23.6225913,,,2016,Primary Transit,Kepler-1619,520,-0.07,1,
Kepler-162 b,6.919798,0.069,,2014,Primary Transit,Kepler-162,,-0.301,,
Kepler-162 c,19.446355,0.137,,2014,Primary Transit,Kepler-162,,-0.301,,
Kepler-1620 b,101.951829,,,2016,Primary Transit,Kepler-1620,773,0.03,1.15,
Kepler-1621 b,92.263714,,,2016,Primary Transit,Kepler-1621,1461,0.03,1.15,
Kepler-1622 b,10.8118737,,,2016,Primary Transit,Kepler-1622,927,0.04,1.31,
Kepler-1623 b,4.36128348,,,2016,Primary Transit,Kepler-1623,986,0.04,1,
Kepler-1624 b,3.29030452,,,2016,Primary Transit,Kepler-1624,199,0.06,0.5,
Kepler-1625 b,287.378949,,,2016,Primary Transit,Kepler-1625,2460,0.01,0.96,
Kepler-1626 b,4.13962966,,,2016,Primary Transit,Kepler-1626,1718,0.04,1.51,
Kepler-1627 b,7.20283653,,,2016,Primary Transit,Kepler-1627,311,-0.1,0.87,
Kepler-1628 b,76.378033,,,2016,Primary Transit,Kepler-1628,352,0.17,0.55,
Kepler-1629 b,3.87595807,,,2016,Primary Transit,Kepler-1629,390,0.05,1.01,
Kepler-163 b,7.810937,0.078,,2014,Primary Transit,Kepler-163,,-0.016,0.96,
Kepler-163 c,21.347262,0.152,,2014,Primary Transit,Kepler-163,,-0.016,0.96,
Kepler-1630 b,509.997402,,,2016,Primary Transit,Kepler-1630,278,-0.46,0.66,
Kepler-1631 b,4.09513932,,,2016,Primary Transit,Kepler-1631,1190,0.04,0.97,
Kepler-1632 b,448.303558,,,2016,Primary Transit,Kepler-1632,584,0,1.12,
Kepler-1633 b,186.404271,,,2016,Primary Transit,Kepler-1633,811,0.02,1.2,
Kepler-1634 b,374.876239,,,2016,Primary Transit,Kepler-1634,654,0.02,0.92,
Kepler-1635 b,469.63111,,,2016,Primary Transit,Kepler-1635,1084,0.06,0.89,
Kepler-1636 b,425.47785,,,2016,Primary Transit,Kepler-1636,1567,0.03,1.01,
Kepler-1637 b,6.10960324,,,2016,Primary Transit,Kepler-1637,506,0.07,1.02,
Kepler-1638 b,259.33683,,,2016,Primary Transit,Kepler-1638,879,-0.01,0.97,
Kepler-1639 b,9.878482,,,2016,Primary Transit,Kepler-1639,1168,-0.03,1.12,
Kepler-164 b,5.03503,0.058,,2014,Primary Transit,Kepler-164,,-0.125,1.11,
Kepler-164 c,10.945723,0.097,,2014,Primary Transit,Kepler-164,,-0.125,1.11,
Kepler-164 d,28.986769,0.187,,2014,Primary Transit,Kepler-164,,-0.125,1.11,
Kepler-1640 b,7.5844126,,,2016,Primary Transit,Kepler-1640,1379,0.1,1.27,
Kepler-1641 b,19.672266,,,2016,Primary Transit,Kepler-1641,961,-0.02,1.12,
Kepler-1641 c,32.657212,,,2016,Primary Transit,Kepler-1641,961,-0.02,1.12,
Kepler-1642 b,12.2057513,,,2016,Primary Transit,Kepler-1642,447,-0.01,0.88,
Kepler-1642 c,6.6513802,,,2016,Primary Transit,Kepler-1642,447,-0.01,0.88,
Kepler-1643 b,5.34264507,,,2016,Primary Transit,Kepler-1643,414,-0.01,0.92,
Kepler-1644 b,21.0907758,,,2016,Primary Transit,Kepler-1644,592,-0.1,0.89,
Kepler-1645 b,16.1779561,,,2016,Primary Transit,Kepler-1645,844,0.04,1.02,
Kepler-1646 b,4.48558383,,,2016,Primary Transit,Kepler-1646,81,0.04,0.24,
Kepler-1647 (AB) b,1107.5923,2.7205,0.0581,2015,Primary Transit,Kepler-1647 (AB),,,2.1885,
Kepler-1649 b,8.68909,0.0514,,2017,Primary Transit,Kepler-1649,,-0.15,0.219,M5V
Kepler-165 b,8.180848,0.072,,2014,Primary Transit,Kepler-165,,-0.28,,
Kepler-165 c,15.31299,0.11,,2014,Primary Transit,Kepler-165,,-0.28,,
Kepler-1650 b,1.538181528,0.0163,,2017,Primary Transit,Kepler-1650,120.5,-0.11,0.326,
Kepler-1651 A b,9.87863917,0.0619,0.13,2017,Primary Transit,Kepler-1651 A,69.4,-0.16,0.522,
Kepler-1652 b,38.09722,0.1654,,2017,Primary Transit,Kepler-1652,252,-0.3,0.404,M2V
Kepler-1655 b,11.8728787,0.103,0,2017,Primary Transit,Kepler-1655,230.41,-0.24,1.03,G0V
Kepler-1656 b,31.578659,0.197,0.836,2018,Primary Transit,Kepler-1656,,0.19,1.03,
Kepler-1658 b,3.8494,0.0546,0.0585,2015,Primary Transit,Kepler-1658,,-0.18,1.447,
Kepler-166 b,7.650254,0.072,,2014,Primary Transit,Kepler-166,,-0.286,,
Kepler-166 c,34.260281,0.195,,2014,Primary Transit,Kepler-166,,-0.286,,
Kepler-166 d,1.55400393,,,2016,Primary Transit,Kepler-166,,-0.286,,
Kepler-167 b,4.393147,0.048,,2014,Primary Transit,Kepler-167,,0.052,0.76,
Kepler-167 c,7.406097,0.068,,2014,Primary Transit,Kepler-167,,0.052,0.76,
Kepler-167 d,21.803855,0.1405,0,2016,Primary Transit,Kepler-167,,0.052,0.76,
Kepler-167 e,1071.23308,1.89,0.062,2016,Primary Transit,Kepler-167,,0.052,0.76,
Kepler-168 b,4.425391,0.056,,2014,Primary Transit,Kepler-168,,-0.012,,
Kepler-168 c,13.193242,0.116,,2014,Primary Transit,Kepler-168,,-0.012,,
Kepler-169 b,3.250619,0.04,,2014,Primary Transit,Kepler-169,,0.238,0.86,
Kepler-169 c,6.195469,0.062,,2014,Primary Transit,Kepler-169,,0.238,0.86,
Kepler-169 d,8.348125,0.075,,2014,Primary Transit,Kepler-169,,0.238,0.86,
Kepler-169 e,13.767102,0.105,,2014,Primary Transit,Kepler-169,,0.238,0.86,
Kepler-169 f,87.090195,0.359,,2014,Primary Transit,Kepler-169,,0.238,0.86,
Kepler-17 b,1.4857108,0.02591,0.011,2011,Primary Transit,Kepler-17,800,0.26,1.16,G2V
Kepler-170 b,7.930592,0.08,,2014,Primary Transit,Kepler-170,,0.234,,
Kepler-170 c,16.665863,0.131,,2014,Primary Transit,Kepler-170,,0.234,,
Kepler-171 b,4.166972,0.05,,2014,Primary Transit,Kepler-171,,-0.151,,
Kepler-171 c,11.463462,0.098,,2014,Primary Transit,Kepler-171,,-0.151,,
Kepler-171 d,39.595519,0.223,,2014,Primary Transit,Kepler-171,,-0.151,,
Kepler-172 b,2.940309,0.04,,2014,Primary Transit,Kepler-172,,0.012,0.86,
Kepler-172 c,6.388996,0.068,,2014,Primary Transit,Kepler-172,,0.012,0.86,
Kepler-172 d,14.627119,0.118,,2014,Primary Transit,Kepler-172,,0.012,0.86,
Kepler-172 e,35.118736,0.211,,2014,Primary Transit,Kepler-172,,0.012,0.86,
Kepler-173 b,4.263742,0.048,,2014,Primary Transit,Kepler-173,,-0.786,0.78,
Kepler-173 c,8.005777,0.074,,2014,Primary Transit,Kepler-173,,-0.786,0.78,
Kepler-174 b,13.98179,0.1,,2014,Primary Transit,Kepler-174,,-0.556,,
Kepler-174 c,44.000529,0.214,,2014,Primary Transit,Kepler-174,,-0.556,,
Kepler-174 d,247.35373,0.677,,2014,Primary Transit,Kepler-174,,-0.556,,
Kepler-175 b,11.903515,0.105,,2014,Primary Transit,Kepler-175,,-0.023,1.04,
Kepler-175 c,34.035257,0.213,,2014,Primary Transit,Kepler-175,,-0.023,1.04,
Kepler-176 b,5.433074,0.058,,2014,Primary Transit,Kepler-176,,0.072,,
Kepler-176 c,12.759712,0.102,,2014,Primary Transit,Kepler-176,,0.072,,
Kepler-176 d,25.751974,0.163,,2014,Primary Transit,Kepler-176,,0.072,,
Kepler-176 e,51.16579,,,2016,Primary Transit,Kepler-176,,0.072,,
Kepler-177 b,35.855,,,2013,Primary Transit,Kepler-177,,0.091,0.93,
Kepler-177 c,49.412,,,2013,Primary Transit,Kepler-177,,0.091,0.93,
Kepler-178 b,9.576694,0.085,,2014,Primary Transit,Kepler-178,,-0.188,,
Kepler-178 c,20.552802,0.142,,2014,Primary Transit,Kepler-178,,-0.188,,
Kepler-178 d,96.678988,0.397,,2014,Primary Transit,Kepler-178,,-0.188,,
Kepler-179 b,2.735926,0.036,,2014,Primary Transit,Kepler-179,,-0.01,,
Kepler-179 c,6.40013,0.064,,2014,Primary Transit,Kepler-179,,-0.01,,
Kepler-18 b,3.504725,0.0447,,2011,Primary Transit,Kepler-18,,0.2,0.972,
Kepler-18 c,7.64159,0.0752,,2011,Primary Transit,Kepler-18,,0.2,0.972,
Kepler-18 d,14.85888,0.1172,,2011,Primary Transit,Kepler-18,,0.2,0.972,
Kepler-180 b,13.817124,0.109,,2014,Primary Transit,Kepler-180,,-0.194,0.84,
Kepler-180 c,41.885775,0.229,,2014,Primary Transit,Kepler-180,,-0.194,0.84,
Kepler-181 b,3.137873,0.04,,2014,Primary Transit,Kepler-181,,-0.162,,
Kepler-181 c,4.302149,0.049,,2014,Primary Transit,Kepler-181,,-0.162,,
Kepler-182 b,9.825792,0.096,,2014,Primary Transit,Kepler-182,,0.077,1.14,
Kepler-182 c,20.684342,0.157,,2014,Primary Transit,Kepler-182,,0.077,1.14,
Kepler-183 b,5.687945,0.064,,2014,Primary Transit,Kepler-183,,0.026,,
Kepler-183 c,11.637071,0.103,,2014,Primary Transit,Kepler-183,,0.026,,
Kepler-184 b,10.687576,0.092,,2014,Primary Transit,Kepler-184,,-0.338,,
Kepler-184 c,20.303005,0.141,,2014,Primary Transit,Kepler-184,,-0.338,,
Kepler-184 d,29.022358,0.179,,2014,Primary Transit,Kepler-184,,-0.338,,
Kepler-185 b,1.6329,0.026,,2014,Primary Transit,Kepler-185,,-0.051,0.79,
Kepler-185 c,20.729042,0.139,,2014,Primary Transit,Kepler-185,,-0.051,0.79,
Kepler-186 b,3.886803,0.04,,2014,Primary Transit,Kepler-186,151,-0.28,0.478,
Kepler-186 c,7.267277,0.061,,2014,Primary Transit,Kepler-186,151,-0.28,0.478,
Kepler-186 d,13.343058,0.091,,2014,Primary Transit,Kepler-186,151,-0.28,0.478,
Kepler-186 e,22.407793,0.129,,2014,Primary Transit,Kepler-186,151,-0.28,0.478,
Kepler-186 f,129.9459,0.356,,2014,Primary Transit,Kepler-186,151,-0.28,0.478,
Kepler-187 b,4.938864,0.059,,2014,Primary Transit,Kepler-187,,-0.345,0.85,
Kepler-187 c,10.640263,0.099,,2014,Primary Transit,Kepler-187,,-0.345,0.85,
Kepler-188 b,2.061897,0.032,,2014,Primary Transit,Kepler-188,,0.1,,
Kepler-188 c,5.996553,0.066,,2014,Primary Transit,Kepler-188,,0.1,,
Kepler-189 b,10.399931,0.088,,2014,Primary Transit,Kepler-189,,-0.134,0.79,
Kepler-189 c,20.134866,0.137,,2014,Primary Transit,Kepler-189,,-0.134,0.79,
Kepler-19 b,9.2869944,0.085,0.12,2011,Primary Transit,Kepler-19,,-0.13,0.936,
Kepler-19 c,28.731,,0.21,2011,Radial Velocity,Kepler-19,,-0.13,0.936,
Kepler-19 d,62.95,,0.05,2017,Radial Velocity,Kepler-19,,-0.13,0.936,
Kepler-190 b,2.019999,0.03,,2014,Primary Transit,Kepler-190,,0.009,0.84,
Kepler-190 c,3.763024,0.045,,2014,Primary Transit,Kepler-190,,0.009,0.84,
Kepler-191 b,9.939632,0.087,,2014,Primary Transit,Kepler-191,,0.006,0.85,
Kepler-191 c,17.738506,0.128,,2014,Primary Transit,Kepler-191,,0.006,0.85,
Kepler-191 d,5.94504102,,,2016,Primary Transit,Kepler-191,,0.006,0.85,
Kepler-192 b,9.926746,0.09,,2014,Primary Transit,Kepler-192,,-0.153,,
Kepler-192 c,21.2234,0.15,,2014,Primary Transit,Kepler-192,,-0.153,,
Kepler-192 d,6.47027579,,,2016,Primary Transit,Kepler-192,,-0.153,,
Kepler-193 b,11.38848,0.106,,2014,Primary Transit,Kepler-193,,-0.011,,
Kepler-193 c,50.697494,0.286,,2014,Primary Transit,Kepler-193,,-0.011,,
Kepler-194 b,2.092281,0.032,,2014,Primary Transit,Kepler-194,,-0.298,,
Kepler-194 c,17.308032,0.131,,2014,Primary Transit,Kepler-194,,-0.298,,
Kepler-194 d,52.814973,0.275,,2014,Primary Transit,Kepler-194,,-0.298,,
Kepler-195 b,8.307872,0.077,,2014,Primary Transit,Kepler-195,,-0.052,,
